"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:microsoft","capital_expenditure","44477000000","2024","FY","annual","2024-06-30"
"entity:company:microsoft","capital_expenditure","64551000000","2025","FY","annual","2025-06-30"
"entity:company:microsoft","capital_expenditure","115948000000","2026","FY","annual","2026-06-30"
"entity:company:microsoft","research_and_development","24512000000","2022","FY","annual","2022-06-30"
"entity:company:microsoft","research_and_development","27195000000","2023","FY","annual","2023-06-30"
"entity:company:microsoft","research_and_development","29510000000","2024","FY","annual","2024-06-30"
"entity:company:microsoft","research_and_development","32488000000","2025","FY","annual","2025-06-30"
"entity:company:microsoft","research_and_development","35562000000","2026","FY","annual","2026-06-30"
"entity:company:microsoft","revenue","198270000000","2022","FY","annual","2022-06-30"
"entity:company:microsoft","revenue","211915000000","2023","FY","annual","2023-06-30"
"entity:company:microsoft","revenue","245122000000","2024","FY","annual","2024-06-30"
"entity:company:microsoft","revenue","281724000000","2025","FY","annual","2025-06-30"
"entity:company:microsoft","revenue","331839000000","2026","FY","annual","2026-06-30"
"entity:company:mongodb","capital_expenditure","8072000","2022","FY","annual","2022-01-31"
"entity:company:mongodb","capital_expenditure","7244000","2023","FY","annual","2023-01-31"
"entity:company:mongodb","capital_expenditure","6074000","2024","FY","annual","2024-01-31"
"entity:company:mongodb","capital_expenditure","29550000","2025","FY","annual","2025-01-31"
"entity:company:mongodb","capital_expenditure","4960000","2026","FY","annual","2026-01-31"
"entity:company:mongodb","research_and_development","308820000","2022","FY","annual","2022-01-31"
"entity:company:mongodb","research_and_development","421692000","2023","FY","annual","2023-01-31"
"entity:company:mongodb","research_and_development","515940000","2024","FY","annual","2024-01-31"
"entity:company:mongodb","research_and_development","596837000","2025","FY","annual","2025-01-31"
"entity:company:mongodb","research_and_development","716303000","2026","FY","annual","2026-01-31"
"entity:company:mongodb","revenue","873782000","2022","FY","annual","2022-01-31"
"entity:company:mongodb","revenue","1284040000","2023","FY","annual","2023-01-31"
"entity:company:mongodb","revenue","1683011000","2024","FY","annual","2024-01-31"
"entity:company:mongodb","revenue","2006443000","2025","FY","annual","2025-01-31"
"entity:company:mongodb","revenue","2463797000","2026","FY","annual","2026-01-31"
"entity:company:nvidia","capital_expenditure","1069000000","2024","FY","annual","2024-01-28"
"entity:company:nvidia","capital_expenditure","3236000000","2025","FY","annual","2025-01-26"
"entity:company:nvidia","capital_expenditure","6042000000","2026","FY","annual","2026-01-25"
"entity:company:nvidia","research_and_development","5268000000","2022","FY","annual","2022-01-30"
"entity:company:nvidia","research_and_development","7339000000","2023","FY","annual","2023-01-29"
"entity:company:nvidia","research_and_development","8675000000","2024","FY","annual","2024-01-28"
"entity:company:nvidia","research_and_development","12914000000","2025","FY","annual","2025-01-26"
"entity:company:nvidia","research_and_development","18497000000","2026","FY","annual","2026-01-25"
"entity:company:nvidia","revenue","26914000000","2022","FY","annual","2022-01-30"
"entity:company:nvidia","revenue","26974000000","2023","FY","annual","2023-01-29"
"entity:company:nvidia","revenue","60922000000","2024","FY","annual","2024-01-28"
"entity:company:nvidia","revenue","130497000000","2025","FY","annual","2025-01-26"
"entity:company:nvidia","revenue","215938000000","2026","FY","annual","2026-01-25"
"entity:company:oracle","capital_expenditure","4511000000","2022","FY","annual","2022-05-31"
"entity:company:oracle","capital_expenditure","8695000000","2023","FY","annual","2023-05-31"
"entity:company:oracle","capital_expenditure","6866000000","2024","FY","annual","2024-05-31"
"entity:company:oracle","capital_expenditure","21215000000","2025","FY","annual","2025-05-31"
"entity:company:oracle","capital_expenditure","55663000000","2026","FY","annual","2026-05-31"
"entity:company:oracle","research_and_development","7219000000","2022","FY","annual","2022-05-31"
"entity:company:oracle","research_and_development","8623000000","2023","FY","annual","2023-05-31"
"entity:company:oracle","research_and_development","8915000000","2024","FY","annual","2024-05-31"
"entity:company:oracle","research_and_development","9860000000","2025","FY","annual","2025-05-31"
"entity:company:oracle","research_and_development","10272000000","2026","FY","annual","2026-05-31"
"entity:company:oracle","revenue","42440000000","2022","FY","annual","2022-05-31"
"entity:company:oracle","revenue","49954000000","2023","FY","annual","2023-05-31"
"entity:company:oracle","revenue","52961000000","2024","FY","annual","2024-05-31"
"entity:company:oracle","revenue","57399000000","2025","FY","annual","2025-05-31"
"entity:company:oracle","revenue","67357000000","2026","FY","annual","2026-05-31"
"entity:company:palantir","capital_expenditure","12627000","2021","FY","annual","2021-12-31"
"entity:company:palantir","capital_expenditure","40027000","2022","FY","annual","2022-12-31"
"entity:company:palantir","capital_expenditure","15114000","2023","FY","annual","2023-12-31"
"entity:company:palantir","capital_expenditure","12634000","2024","FY","annual","2024-12-31"
"entity:company:palantir","capital_expenditure","33882000","2025","FY","annual","2025-12-31"
"entity:company:palantir","research_and_development","387487000","2021","FY","annual","2021-12-31"
"entity:company:palantir","research_and_development","359679000","2022","FY","annual","2022-12-31"
"entity:company:palantir","research_and_development","404624000","2023","FY","annual","2023-12-31"
"entity:company:palantir","research_and_development","507878000","2024","FY","annual","2024-12-31"
"entity:company:palantir","research_and_development","557677000","2025","FY","annual","2025-12-31"
"entity:company:palantir","revenue","1541889000","2021","FY","annual","2021-12-31"
